Name,Type,Parent,Role,X_m,Y_m,Z_m,DX_m,DY_m,DZ_m
Casemate_Port_2,MESH,Queen_Mary,secondary_gun,-13.235,48.0,6.25,0.28,2.85,0.28
Casemate_Port_3,MESH,Queen_Mary,secondary_gun,-13.34,42.0,6.25,0.28,2.85,0.28
Casemate_Port_4,MESH,Queen_Mary,secondary_gun,-13.445,36.0,6.25,0.28,2.85,0.28
Casemate_Port_5,MESH,Queen_Mary,secondary_gun,-13.55,30.0,6.25,0.28,2.85,0.28
Casemate_Port_6,MESH,Queen_Mary,secondary_gun,-13.565,24.0,6.25,0.28,2.85,0.28
Casemate_Port_7,MESH,Queen_Mary,secondary_gun,-13.58,18.0,6.25,0.28,2.85,0.28
Casemate_Port_8,MESH,Queen_Mary,secondary_gun,-13.595,12.0,6.25,0.28,2.85,0.28
Casemate_Starboard_1,MESH,Queen_Mary,secondary_gun,12.986667,54.0,6.25,0.28,2.85,0.28
Casemate_Starboard_2,MESH,Queen_Mary,secondary_gun,13.235,48.0,6.25,0.28,2.85,0.28
Casemate_Starboard_3,MESH,Queen_Mary,secondary_gun,13.34,42.0,6.25,0.28,2.85,0.28
Casemate_Starboard_4,MESH,Queen_Mary,secondary_gun,13.445,36.0,6.25,0.28,2.85,0.28
Casemate_Starboard_5,MESH,Queen_Mary,secondary_gun,13.55,30.0,6.25,0.28,2.85,0.28
Casemate_Starboard_6,MESH,Queen_Mary,secondary_gun,13.565,24.0,6.25,0.28,2.85,0.28
Casemate_Starboard_7,MESH,Queen_Mary,secondary_gun,13.58,18.0,6.25,0.28,2.85,0.28
Casemate_Starboard_8,MESH,Queen_Mary,secondary_gun,13.595,12.0,6.25,0.28,2.85,0.28
Conning_Tower,MESH,Superstructure,conning_tower,0.0,37.0,11.398582,6.0,6.0,8.376088
Damage_Modules,EMPTY,Queen_Mary,module_group,0.0,0.0,0.0,0.0,0.0,0.0
Elevation_A,EMPTY,Turret_A,gun_elevation,0.0,64.0,9.813658,0.0,0.0,0.0
Elevation_B,EMPTY,Turret_B,gun_elevation,0.0,50.0,13.5,0.0,0.0,0.0
Elevation_Q,EMPTY,Turret_Q,gun_elevation,0.0,-10.0,9.470476,0.0,0.0,0.0
Elevation_X,EMPTY,Turret_X,gun_elevation,0.0,-72.0,8.180874,0.0,0.0,0.0
Engine_Room_1,MESH,Damage_Modules,engine_room,0.0,-47.0,-4.0,13.169647,14.0,6.0
Engine_Room_2,MESH,Damage_Modules,engine_room,0.0,-60.5,-4.0,11.61348,9.0,6.0
FX_Anchors,EMPTY,Queen_Mary,fx_group,0.0,0.0,0.0,0.0,0.0,0.0
FX_Funnel_1_Smoke,EMPTY,FX_Anchors,fx_anchor,0.0,23.0,22.0,0.0,0.0,0.0
FX_Funnel_2_Smoke,EMPTY,FX_Anchors,fx_anchor,0.0,7.0,22.0,0.0,0.0,0.0
FX_Funnel_3_Smoke,EMPTY,FX_Anchors,fx_anchor,0.0,-27.0,22.0,0.0,0.0,0.0
FX_Mast_Fore_Top,EMPTY,FX_Anchors,fx_anchor,0.0,32.0,40.186626,0.0,0.0,0.0
FX_Mast_Main_Top,EMPTY,FX_Anchors,fx_anchor,0.0,-38.0,32.296844,0.0,0.0,0.0
FX_Standard_Aft,EMPTY,FX_Anchors,fx_anchor,0.0,-90.0,5.969265,0.0,0.0,0.0
Forecastle,MESH,Queen_Mary,forecastle_deck,0.0,0.0,0.0,27.200001,124.699997,2.45
Funnel_1,MESH,Queen_Mary,funnel,0.0,23.0,9.591805,5.096,7.904,12.428195
Funnel_1_Uptake,MESH,Superstructure,funnel_uptake,0.0,23.0,8.366806,5.88,9.88,2.45
Funnel_2,MESH,Queen_Mary,funnel,0.0,7.0,9.504365,7.28,7.28,12.515635
Funnel_2_Uptake,MESH,Superstructure,funnel_uptake,0.0,7.0,8.279365,8.4,9.1,2.45
Funnel_3,MESH,Queen_Mary,funnel,0.0,-27.0,7.638667,5.096,7.904,14.381333
Funnel_3_Uptake,MESH,Superstructure,funnel_uptake,0.0,-27.0,6.413667,5.88,9.88,2.45
Hull,MESH,Queen_Mary,hull,0.0,0.0,0.0,27.200001,213.399994,15.0
Magazine_A,MESH,Damage_Modules,magazine,0.0,60.0,-4.6,9.0,7.0,6.0
Magazine_B,MESH,Damage_Modules,magazine,0.0,46.0,-4.6,9.0,7.0,6.0
Magazine_Q,MESH,Damage_Modules,magazine,0.0,-6.0,-4.6,9.0,7.0,6.0
Magazine_X,MESH,Damage_Modules,magazine,0.0,-71.0,-4.4,8.558217,9.0,6.0
Mast_Fore,MESH,Queen_Mary,tripod_mast,0.0,32.0,16.186626,9.999998,4.896541,24.053919
Mast_Main,MESH,Queen_Mary,tripod_mast,0.0,-38.0,9.296845,6.799999,4.231451,23.038006
Propeller_Shafts,MESH,Queen_Mary,propulsion_underwater,0.0,0.0,0.0,20.076954,56.906475,3.676955
Quarterdeck,MESH,Queen_Mary,quarterdeck,0.0,0.0,0.0,27.200001,88.699997,0.67
Queen_Mary,EMPTY,,ship_root,0.0,0.0,0.0,0.0,0.0,0.0
Rangefinder_CT,MESH,Superstructure,fire_control,0.0,37.0,16.486626,3.6,3.0,1.8
Rudder,MESH,Queen_Mary,rudder,0.0,0.0,0.0,0.42,5.599998,6.8
Steering_Gear,MESH,Damage_Modules,steering_gear,0.0,-96.0,-2.5,4.242221,6.0,2.5
Sternwalk,MESH,Queen_Mary,sternwalk,0.0,0.0,0.0,14.436597,8.5,0.36
Sternwalk_Rails,MESH,Sternwalk,sternwalk_rail,0.0,0.0,0.0,14.566597,8.630005,1.035
Superstructure,EMPTY,Queen_Mary,group,0.0,0.0,0.0,0.0,0.0,0.0
Torpedo_Net_Port_Mesh,MESH,Torpedo_Net_Port_Stowed,stowed_net_mesh,0.0,0.0,0.0,4.028254,156.04776,3.225074
Torpedo_Net_Port_Stowed,EMPTY,Queen_Mary,stowed_net,0.0,0.0,0.0,0.0,0.0,0.0
Torpedo_Net_Starboard_Mesh,MESH,Torpedo_Net_Starboard_Stowed,stowed_net_mesh,0.0,0.0,0.0,4.028254,156.04776,3.225074
Torpedo_Net_Starboard_Stowed,EMPTY,Queen_Mary,stowed_net,0.0,0.0,0.0,0.0,0.0,0.0
Turret_A,MESH,Queen_Mary,main_turret,0.0,60.0,8.313658,9.8,9.1,3.8
Turret_B,MESH,Queen_Mary,main_turret,0.0,46.0,12.0,9.8,9.1,3.8
Turret_Q,MESH,Queen_Mary,main_turret,0.0,-6.0,7.970476,9.8,9.1,3.8
Turret_X,MESH,Queen_Mary,main_turret,0.0,-68.0,6.680874,9.8,9.1,3.8
